SupplierID,SupplierName,ProductID,CarMaker,CarModel,CarColor,CarModelYear,CarPrice,CustomerID,CustomerName,Gender,JobTitle,City,Country,CountryCode,State,OrderDate,OrderID,ShipDate,ShipMode,Shipping,PostalCode,Sales,Quantity,Discount,CreditCardType,CustomerFeedback,LeadTimeDays,OrderMonth,FeedbackScore,RevenuePerUnit
11,Layo,9212,Mercedes-Benz,M-Class,Mauv,2002,722114.57,0955-1015,Duff Dodgshun,Male,Developer I,Newark,United States,US,New Jersey,2019-05-23,50563-202,2019-03-29,Same Day,Air,7112,932957.69,1,0.62,diners-club-enroute,Very Bad,-55,2019-05,1,932957.69
12,Oyoyo,7891,Ford,Taurus X,Crimson,2008,761182.85,54838-101,Barry Delves,Female,Analog Circuit Design manager,Syracuse,United States,US,New York,2018-12-02,60512-1035,2019-05-20,Same Day,Truck,13217,743643.26,2,0.61,jcb,Okay,169,2018-12,3,371821.63
13,Quatz,3334,Mercedes-Benz,CL-Class,Red,2011,568015.89,49825-119,Libbey Divell,Female,VP Sales,Charleston,United States,US,West Virginia,2019-06-17,54868-6162,2019-01-21,Second Class,Truck,25331,856186.55,2,0.81,diners-club-enroute,Good,-147,2019-06,4,428093.275
14,Gabvine,8898,Dodge,Avenger,Turquoise,2008,646591.02,54799-504,Demetria Hazelgrove,Female,Human Resources Assistant IV,Topeka,United States,US,Kansas,2019-04-25,57955-8315,2019-05-17,First Class,Air,66642,703359.96,1,0.88,jcb,Good,22,2019-04,4,703359.96
15,Jaxspan,4531,Nissan,Pathfinder,Khaki,2002,670304.84,43742-0059,Creigh Wreakes,Male,Internal Auditor,Washington,United States,US,District of Columbia,2018-08-12,58118-0404,2019-01-07,Same Day,Air,20005,832581.18,2,0.44,jcb,Good,148,2018-08,4,416290.59
16,Mybuzz,3327,BMW,M3,Turquoise,2009,728986.85,68788-9728,Erv Manville,Male,Senior Developer,Chattanooga,United States,US,Tennessee,2018-12-03,65862-082,2019-06-01,Same Day,Air,37416,948098.46,2,0.84,visa,Good,180,2018-12,4,474049.23
17,Gabcube,7975,Mercedes-Benz,R-Class,Puce,2009,665854.24,0228-2672,Mychal Zanetti,Male,Social Worker,Dayton,United States,US,Ohio,2018-08-06,50169-0005,2019-02-21,Same Day,Air,45470,856069.09,2,0.63,china-unionpay,Very Good,199,2018-08,5,428034.545
18,Lazz,7029,Honda,FCX Clarity,Yellow,2012,707705.42,21695-215,Jermain Proudman,Male,Senior Editor,Appleton,United States,US,Wisconsin,2019-04-15,49404-204,2019-05-20,Same Day,Air,54915,749727.44,1,0.64,mastercard,Very Good,35,2019-04,5,749727.44
19,Buzzdog,2373,Toyota,Corolla,Aquamarine,2004,563380.63,37000-352,Liuka Dundin,Female,Desktop Support Technician,Murfreesboro,United States,US,Tennessee,2019-06-03,0363-0459,2019-04-30,First Class,Air,37131,758563.82,2,0.56,jcb,Very Good,-34,2019-06,5,379281.91
20,Yodel,5839,Ford,Tempo,Turquoise,1988,686028.43,49288-0606,Timmy Duck,Female,Payment Adjustment Coordinator,Annapolis,United States,US,Maryland,2018-11-12,57955-2282,2019-03-24,Standard Class,Truck,21405,927054.81,2,0.83,jcb,Bad,132,2018-11,2,463527.405
21,Innojam,1459,Mercedes-Benz,SL-Class,Turquoise,2009,526717.03,49693-1801,Barbee Cathel,Female,Chemical Engineer,Bloomington,United States,US,Indiana,2018-12-03,28107-003,2019-05-31,Second Class,Air,47405,979571.33,2,0.4,china-unionpay,Bad,179,2018-12,2,489785.665
22,Skidoo,8464,Chevrolet,Monte Carlo,Aquamarine,1996,569743.98,23155-141,Aimee O'Canavan,Female,Project Manager,Santa Monica,United States,US,California,2019-01-24,53808-0349,2019-05-31,Standard Class,Air,90405,718907.78,1,0.39,jcb,Good,127,2019-01,4,718907.78
23,Mynte,7705,Bentley,Continental Flying Spur,Fuscia,2009,649917.0,65517-0027,Iain Potell,Male,Software Consultant,Evansville,United States,US,Indiana,2019-05-04,13537-217,2019-02-20,Second Class,Truck,47725,736530.42,2,0.89,maestro,Very Good,-73,2019-05,5,368265.21
24,Browseblab,8048,Toyota,Celica,Puce,2003,702988.61,0703-9258,Marylin Tresvina,Female,Staff Scientist,Reno,United States,US,Nevada,2018-09-09,44911-0082,2019-02-18,Second Class,Air,89519,808884.0,1,0.57,jcb,Good,162,2018-09,4,808884.0
25,Mybuzz,5595,BMW,7 Series,Turquoise,2012,767834.18,50988-176,Letisha Mahoney,Female,Professor,Muncie,United States,US,Indiana,2018-08-16,55316-647,2019-06-04,First Class,Truck,47306,764420.77,1,0.88,jcb,Very Good,292,2018-08,5,764420.77
26,Photobug,3962,Nissan,Cube,Turquoise,2009,669596.52,55154-8252,Way Cossell,Male,Compensation Analyst,New York City,United States,US,New York,2019-04-30,16864-002,2019-04-27,Same Day,Air,10029,762315.01,1,0.52,diners-club-carte-blanche,Very Good,-3,2019-04,5,762315.01
27,Flashset,480,Dodge,Ram 1500 Club,Red,1996,515209.24,51143-213,Ahmad McNiven,Male,VP Quality Control,Baltimore,United States,US,Maryland,2019-06-02,59779-169,2019-02-26,Same Day,Air,21281,939816.56,2,0.27,china-unionpay,Very Bad,-96,2019-06,1,469908.28
28,Kamba,7827,Buick,Regal,Orange,2011,649144.0,42507-612,Phillipe Fussie,Male,Director of Sales,Miami,United States,US,Florida,2019-01-06,0527-1366,2019-03-02,First Class,Air,33158,935633.27,2,0.5,jcb,Very Bad,55,2019-01,1,467816.635
29,Tazzy,4263,GMC,3500,Maroon,1994,655358.88,76237-162,Beryle Carlan,Female,Accounting Assistant IV,Washington,United States,US,District of Columbia,2019-05-08,37012-160,2019-03-04,Standard Class,Air,20442,936358.16,2,0.8,bankcard,Okay,-65,2019-05,3,468179.08
30,Rhyloo,4533,Pontiac,Grand Prix,Red,1983,695215.79,69243-0610,Ernesta Tzarkov,Female,Assistant Media Planner,Vancouver,United States,US,Washington,2019-01-16,63629-5233,2019-05-09,Same Day,Air,98682,740992.19,1,0.63,switch,Bad,113,2019-01,2,740992.19
31,Yakijo,1425,Cadillac,DTS,Fuscia,2010,631349.63,75936-123,Hailey Doorbar,Male,Human Resources Manager,Lincoln,United States,US,Nebraska,2018-11-28,54868-4525,2019-03-27,Standard Class,Air,68531,863444.64,2,0.89,jcb,Very Good,119,2018-11,5,431722.32
32,Fanoodle,3840,Volkswagen,Jetta,Turquoise,1984,795403.28,51346-179,Ricoriki Egalton,Male,Help Desk Technician,Austin,United States,US,Texas,2018-12-09,65342-1377,2019-03-16,Standard Class,Truck,78783,935827.84,2,0.66,jcb,Good,97,2018-12,4,467913.92
33,Skaboo,8157,Volkswagen,New Beetle,Pink,2001,728738.25,10849-001,Mateo Gawith,Male,Compensation Analyst,Brooklyn,United States,US,New York,2018-10-19,37000-069,2019-01-09,First Class,Air,11215,904657.67,2,0.52,jcb,Very Bad,82,2018-10,1,452328.835
34,Flashpoint,6551,Chevrolet,3500,Indigo,1996,621482.6,52125-632,Jeffy Duckworth,Male,Senior Financial Analyst,El Paso,United States,US,Texas,2018-09-26,0904-5721,2019-01-28,Second Class,Truck,79999,831839.93,1,0.71,jcb,Bad,124,2018-09,2,831839.93
35,Twitterlist,8142,Nissan,Sentra,Turquoise,2011,523333.68,53808-0603,Reese Lace,Male,Associate Professor,New Orleans,United States,US,Louisiana,2019-05-26,58414-8748,2019-03-17,Same Day,Air,70142,921546.49,2,0.69,maestro,Good,-70,2019-05,4,460773.245
36,Linkbridge,7609,Acura,SLX,Khaki,1999,543658.53,68387-695,Joete Rigmond,Female,Internal Auditor,New York City,United States,US,New York,2018-08-23,63629-4582,2019-06-03,Second Class,Truck,10060,963735.86,1,0.39,jcb,Good,284,2018-08,4,963735.86
37,Oyonder,5911,Chevrolet,Corvette,Green,1998,579336.1,0603-1384,Orland Morpeth,Male,Nurse,Roanoke,United States,US,Virginia,2018-06-28,47593-363,2019-05-03,Same Day,Truck,24020,883232.92,2,0.43,maestro,Very Bad,309,2018-06,1,441616.46
38,Edgeblab,8736,Mazda,MX-5,Teal,2009,762675.72,55289-697,Nissie Piller,Female,Safety Technician IV,San Francisco,United States,US,California,2018-11-11,0781-3167,2019-05-31,Standard Class,Air,94177,943846.05,1,0.85,mastercard,Very Good,201,2018-11,5,943846.05
39,Jetpulse,539,Ford,Econoline E250,Fuscia,2002,753675.72,33992-4948,Pablo Mithon,Male,VP Accounting,Dulles,United States,US,Virginia,2018-09-05,68084-375,2019-03-23,Same Day,Truck,20189,917587.05,2,0.41,diners-club-carte-blanche,Good,199,2018-09,4,458793.525
40,Quinu,9901,Audi,100,Goldenrod,1992,518104.02,49938-102,Lishe Healeas,Female,Programmer Analyst III,Battle Creek,United States,US,Michigan,2018-07-08,16714-387,2019-02-17,Standard Class,Air,49018,891387.37,2,0.64,maestro,Bad,224,2018-07,2,445693.685
41,Kazu,7763,Mazda,Protege,Mauv,1993,623810.35,24488-032,Coriss Toller,Female,Payment Adjustment Coordinator,Atlanta,United States,US,Georgia,2019-02-19,51389-107,2019-01-28,Standard Class,Truck,31106,888070.27,2,0.69,jcb,Very Bad,-22,2019-02,1,444035.135
42,Skyndu,9905,Chevrolet,Suburban 2500,Aquamarine,2009,794485.02,11697-373,Friedrich Roswarne,Male,Cost Accountant,Stockton,United States,US,California,2019-05-17,50436-6858,2019-03-30,First Class,Air,95298,722987.23,1,0.51,maestro,Bad,-48,2019-05,2,722987.23
43,Gigaclub,1351,Mazda,B-Series,Violet,1996,690487.8,43742-0339,Camile Dewhurst,Female,Structural Analysis Engineer,Pasadena,United States,US,California,2018-10-18,0409-7926,2019-03-01,Second Class,Truck,91125,803434.12,1,0.49,diners-club-carte-blanche,Very Bad,134,2018-10,1,803434.12
44,Avavee,3792,Honda,Accord,Aquamarine,2007,649862.04,62499-395,Barrett Eminson,Male,Web Designer IV,Corpus Christi,United States,US,Texas,2019-06-01,55714-2205,2019-01-25,Standard Class,Air,78405,902974.39,1,0.3,jcb,Very Good,-127,2019-06,5,902974.39
45,Trilia,3612,Saab,900,Orange,1987,766717.6,55154-6649,Joly Tincknell,Female,Financial Analyst,Saginaw,United States,US,Michigan,2018-10-20,55154-6707,2019-04-01,Second Class,Truck,48604,752502.57,1,0.47,jcb,Good,163,2018-10,4,752502.57
46,Omba,2187,Mitsubishi,Endeavor,Orange,2009,604079.51,51523-018,Homere Denford,Male,Operator,Little Rock,United States,US,Arkansas,2019-04-05,76519-1011,2019-02-23,Same Day,Truck,72204,847068.11,1,0.63,jcb,Okay,-41,2019-04,3,847068.11
47,Realbuzz,983,Buick,Riviera,Yellow,1997,757855.82,52959-997,Kilian Ivie,Male,Cost Accountant,Spartanburg,United States,US,South Carolina,2019-02-23,0440-1771,2019-06-12,Second Class,Air,29319,716453.03,1,0.4,visa,Bad,109,2019-02,2,716453.03
48,Topicstorm,1449,Mitsubishi,Galant,Goldenrod,1998,770647.91,37205-458,Bobette Tittletross,Female,Accounting Assistant II,Nashville,United States,US,Tennessee,2018-08-27,55289-410,2019-02-18,Same Day,Air,37235,946040.4,2,0.7,jcb,Very Bad,175,2018-08,1,473020.2
49,Oozz,7701,Mitsubishi,Challenger,Green,2002,672062.8,0268-0899,Deanne Andreolli,Female,Assistant Media Planner,Tulsa,United States,US,Oklahoma,2018-11-04,52709-1001,2019-05-21,Same Day,Air,74133,948811.89,2,0.64,visa,Very Good,198,2018-11,5,474405.945
50,Skynoodle,8551,Ford,Econoline E350,Goldenrod,1992,603304.49,65321-515,Maje MacShirie,Male,Programmer I,Shreveport,United States,US,Louisiana,2019-02-05,66915-613,2019-06-14,Same Day,Air,71130,895110.23,2,0.84,bankcard,Very Bad,129,2019-02,1,447555.115
51,Rhyloo,5587,Saab,9-7X,Red,2006,725775.33,66854-024,Jacinthe Deekes,Female,VP Marketing,Saint Paul,United States,US,Minnesota,2018-09-02,13107-020,2019-05-20,First Class,Truck,55188,992269.44,1,0.36,switch,Bad,260,2018-09,2,992269.44
52,Avaveo,9116,GMC,Sierra 3500,Red,2007,719787.61,30142-163,Aguie Woodland,Male,Data Coordiator,El Paso,United States,US,Texas,2018-11-27,63629-4358,2019-05-11,Same Day,Truck,79905,862750.76,1,0.56,visa,Bad,165,2018-11,2,862750.76
53,Jabbersphere,3420,Pontiac,Grand Prix,Goldenrod,2008,626150.56,68788-9178,Eldon Bartlam,Male,General Manager,Tempe,United States,US,Arizona,2019-01-18,43857-0292,2019-04-23,Second Class,Air,85284,858141.4,2,0.62,jcb,Very Bad,95,2019-01,1,429070.7
54,Demizz,5163,Ford,Bronco,Red,1990,578528.68,0517-7630,Marlane Nutten,Female,Product Engineer,West Palm Beach,United States,US,Florida,2019-04-14,68016-213,2019-05-10,First Class,Air,33416,761296.61,2,0.68,visa,Okay,26,2019-04,3,380648.305
55,Wikido,7900,Cadillac,Escalade EXT,Fuscia,2011,575587.24,36987-1206,Gery Zamora,Male,VP Marketing,Lancaster,United States,US,California,2018-09-20,63629-1792,2019-04-25,First Class,Truck,93584,903568.39,2,0.56,diners-club-carte-blanche,Very Good,217,2018-09,5,451784.195
56,Oyoba,1402,Lexus,IS,Violet,2005,501225.2,0093-6126,Nichole Longlands,Female,VP Sales,Kalamazoo,United States,US,Michigan,2018-12-04,54868-6368,2019-04-06,Same Day,Truck,49048,835589.93,1,0.83,switch,Good,123,2018-12,4,835589.93
57,Blogspan,3562,Nissan,Rogue,Blue,2008,533876.93,51060-009,Ted Schroter,Female,Quality Control Specialist,Fort Lauderdale,United States,US,Florida,2019-06-03,0280-6091,2019-06-17,Second Class,Air,33355,993775.95,2,0.62,bankcard,Bad,14,2019-06,2,496887.975
58,Wikivu,7772,Rolls-Royce,Phantom,Blue,2013,680954.64,55319-533,Maximilien Cortez,Male,Engineer I,Oklahoma City,United States,US,Oklahoma,2018-10-26,76439-209,2019-04-25,First Class,Truck,73197,960718.44,1,0.89,jcb,Very Bad,181,2018-10,1,960718.44
59,Blognation,9085,Mercedes-Benz,CL-Class,Violet,2007,505474.42,0409-1163,Ase Giannazzi,Male,GIS Technical Architect,Boise,United States,US,Idaho,2019-06-08,53208-447,2019-04-04,Standard Class,Truck,83716,767378.13,2,0.77,maestro,Very Bad,-65,2019-06,1,383689.065
60,Skipstorm,4681,Infiniti,J,Indigo,1993,696777.09,61336-001,Chrissie Whittaker,Male,Web Developer III,Washington,United States,US,District of Columbia,2019-01-03,0615-7565,2019-06-11,Standard Class,Truck,20005,935708.53,1,0.63,laser,Okay,159,2019-01,3,935708.53
61,Thoughtworks,8104,Pontiac,Grand Prix,Fuscia,2002,550962.34,0135-0460,Chadd Firpi,Male,Administrative Assistant III,Fort Smith,United States,US,Arkansas,2019-02-23,58118-0212,2019-04-19,Standard Class,Truck,72905,807275.14,2,0.86,china-unionpay,Very Good,55,2019-02,5,403637.57
62,Photojam,5299,Chevrolet,Camaro,Yellow,2010,757579.72,53150-411,Caro Pettegre,Female,Administrative Assistant II,Detroit,United States,US,Michigan,2018-08-02,54868-6209,2019-01-26,Second Class,Air,48211,916777.9,2,0.46,china-unionpay,Very Good,177,2018-08,5,458388.95
63,Browsetype,3987,Nissan,Maxima,Maroon,1996,520683.36,60560-1072,Huberto Lawdham,Male,Actuary,Champaign,United States,US,Illinois,2018-10-01,62032-131,2019-01-18,First Class,Air,61825,936548.81,2,0.89,jcb,Very Good,109,2018-10,5,468274.405
64,Tagopia,4550,Mitsubishi,Galant,Aquamarine,2002,737510.19,52380-3101,Madonna Sultan,Female,Staff Scientist,Plano,United States,US,Texas,2018-08-23,61722-002,2019-03-09,First Class,Air,75074,752627.75,2,0.42,jcb,Very Bad,198,2018-08,1,376313.875
65,Livepath,8174,Ferrari,California,Teal,2010,577349.21,51141-1000,Tibold Glanfield,Male,Compensation Analyst,Garland,United States,US,Texas,2019-03-26,51138-212,2019-03-30,Same Day,Truck,75044,781362.73,2,0.42,jcb,Very Good,4,2019-03,5,390681.365
66,Oodoo,6995,Kia,Sportage,Yellow,2005,603904.91,0781-6523,Veriee Scrivner,Female,Registered Nurse,Indianapolis,United States,US,Indiana,2018-09-01,49288-0231,2019-06-17,Same Day,Air,46247,829499.12,2,0.45,jcb,Good,289,2018-09,4,414749.56
67,Blogtags,8129,Volvo,V50,Goldenrod,2011,687399.66,43196-514,Cristian Peschka,Male,Occupational Therapist,Fayetteville,United States,US,North Carolina,2018-07-05,0173-0838,2019-03-18,Same Day,Truck,28305,741827.31,2,0.49,mastercard,Very Bad,256,2018-07,1,370913.655
68,Gigashots,8854,Nissan,Sentra,Yellow,2006,567121.2,0517-0033,Ethelred Thorington,Male,Tax Accountant,San Antonio,United States,US,Texas,2019-03-06,57237-101,2019-04-02,Same Day,Air,78220,849446.97,1,0.42,visa,Very Bad,27,2019-03,1,849446.97
69,Pixoboo,779,Dodge,Sprinter,Purple,2006,713189.06,63824-750,Desi Feldbaum,Male,Quality Engineer,Nashville,United States,US,Tennessee,2019-05-26,68151-1020,2019-01-04,Second Class,Truck,37205,717444.55,1,0.36,jcb,Very Good,-142,2019-05,5,717444.55
70,Zooxo,7841,Mercedes-Benz,SL-Class,Blue,2000,693279.61,64980-183,Winna Heber,Female,Automation Specialist IV,Kansas City,United States,US,Missouri,2018-12-31,0054-0254,2019-05-08,First Class,Air,64136,723633.61,2,0.3,china-unionpay,Very Good,128,2018-12,5,361816.805
71,Fivespan,9355,Volvo,C70,Turquoise,1999,669557.49,35356-844,Blondie Pirie,Female,Business Systems Development Analyst,Birmingham,United States,US,Alabama,2019-01-28,55316-249,2019-04-03,Standard Class,Air,35290,979593.39,2,0.67,jcb,Okay,65,2019-01,3,489796.695
72,Linkbuzz,9824,Dodge,Ram Van 3500,Goldenrod,2001,508230.44,68180-403,Lynde Kiezler,Female,Biostatistician II,Birmingham,United States,US,Alabama,2018-07-23,10370-116,2019-03-12,First Class,Air,35231,959819.33,2,0.88,china-unionpay,Okay,232,2018-07,3,479909.665
73,DabZ,2631,Cadillac,XLR,Red,2008,545080.04,24987-562,Morie Mowsdell,Male,Librarian,Glendale,United States,US,Arizona,2019-06-05,61748-014,2019-03-28,Standard Class,Air,85311,752558.4,1,0.83,diners-club-carte-blanche,Very Good,-69,2019-06,5,752558.4
74,Jazzy,149,Isuzu,Trooper,Puce,1992,656202.16,54868-4250,Giusto Bollis,Male,Geological Engineer,Brockton,United States,US,Massachusetts,2019-04-25,59262-601,2019-06-13,Same Day,Truck,2305,941994.61,1,0.36,china-unionpay,Bad,49,2019-04,2,941994.61
75,Dabtype,8521,Toyota,MR2,Puce,2001,505282.4,53499-0390,Marwin Francescozzi,Male,VP Marketing,Arlington,United States,US,Texas,2018-09-23,63824-271,2019-05-30,Second Class,Truck,76096,779114.68,1,0.43,diners-club-carte-blanche,Very Bad,249,2018-09,1,779114.68
76,Thoughtstorm,9453,Audi,A8,Red,2003,601030.83,13537-110,Anatollo Pow,Male,GIS Technical Architect,Albany,United States,US,New York,2019-04-26,0378-9104,2019-01-27,Second Class,Air,12255,860641.97,2,0.74,maestro,Okay,-89,2019-04,3,430320.985
77,Vimbo,4876,Dodge,Ram 2500,Blue,2008,553348.39,41520-199,Arlinda Stocker,Female,VP Accounting,Dallas,United States,US,Texas,2018-11-20,51141-2000,2019-04-06,Second Class,Air,75221,852540.42,2,0.45,diners-club-us-ca,Okay,137,2018-11,3,426270.21
78,Fadeo,7833,Mitsubishi,Precis,Aquamarine,1994,766396.94,0944-4351,Joan Beddon,Female,Marketing Manager,Seattle,United States,US,Washington,2018-12-15,51367-008,2019-05-24,Second Class,Air,98127,899946.21,1,0.8,jcb,Bad,160,2018-12,2,899946.21
79,Thoughtstorm,2755,Oldsmobile,Bravada,Teal,2004,707517.46,76519-1017,Blythe Lampens,Female,Accountant I,Atlanta,United States,US,Georgia,2019-04-14,61748-017,2019-05-29,Second Class,Air,31132,954701.77,2,0.29,jcb,Okay,45,2019-04,3,477350.885
80,Eadel,9933,Buick,Regal,Purple,1989,667039.78,45963-538,Ozzie Oade,Male,Database Administrator III,Orlando,United States,US,Florida,2018-09-15,0904-0304,2019-05-11,Same Day,Truck,32803,830149.53,2,0.58,diners-club-enroute,Very Good,238,2018-09,5,415074.765
81,Yabox,4829,Oldsmobile,Ciera,Violet,1993,546889.09,64117-252,Niels Bushe,Male,Desktop Support Technician,Birmingham,United States,US,Alabama,2019-06-17,64455-994,2019-05-27,Second Class,Truck,35263,850167.91,1,0.76,jcb,Very Bad,-21,2019-06,1,850167.91
82,Muxo,4514,Nissan,Frontier,Pink,2006,688767.81,43269-669,Vidovic Elwood,Male,Nuclear Power Engineer,San Antonio,United States,US,Texas,2019-05-25,25010-215,2019-05-01,Same Day,Truck,78285,723947.52,1,0.27,jcb,Bad,-24,2019-05,2,723947.52
83,Zazio,4469,Cadillac,Seville,Maroon,2004,778797.87,0185-0157,Hymie Swyndley,Male,Senior Cost Accountant,Brooklyn,United States,US,New York,2018-12-26,51514-0333,2019-03-13,Second Class,Air,11236,881348.59,2,0.86,jcb,Very Bad,77,2018-12,1,440674.295
84,Tagfeed,3865,Kia,Optima,Violet,2002,620793.44,24208-544,Sharron Cranna,Female,Staff Scientist,Baton Rouge,United States,US,Louisiana,2018-07-16,0268-6706,2019-02-04,Same Day,Air,70820,861113.04,1,0.82,jcb,Bad,203,2018-07,2,861113.04
85,Fatz,5712,Nissan,Sentra,Pink,1999,777163.99,29149-001,Ericha Hagard,Female,Account Representative IV,Phoenix,United States,US,Arizona,2018-08-04,66715-9735,2019-04-14,Same Day,Air,85099,992886.7,2,0.48,mastercard,Very Bad,253,2018-08,1,496443.35
86,Camido,8687,Volvo,V50,Pink,2010,545741.7,0299-5980,Charin Henriksson,Female,Research Assistant III,Daytona Beach,United States,US,Florida,2018-09-25,64127-085,2019-05-27,Standard Class,Truck,32128,885892.96,2,0.77,china-unionpay,Very Bad,244,2018-09,1,442946.48
87,Roodel,9633,Honda,Ridgeline,Pink,2007,662004.26,0067-2039,Dinny O'Cooney,Female,Financial Analyst,Tampa,United States,US,Florida,2019-05-30,59779-949,2019-01-04,Same Day,Air,33620,998843.29,2,0.63,jcb,Good,-146,2019-05,4,499421.645
88,Gigazoom,7989,Pontiac,GTO,Pink,1970,696179.72,55714-4426,Alphard Quantrill,Male,Programmer Analyst IV,Phoenix,United States,US,Arizona,2019-04-01,31720-208,2019-02-17,First Class,Air,85025,858307.07,2,0.38,jcb,Good,-43,2019-04,4,429153.535
89,Omba,4440,Chevrolet,Suburban 1500,Green,2003,714262.33,37808-008,Niven Derrington,Male,Research Assistant IV,Fort Smith,United States,US,Arkansas,2019-02-14,52183-369,2019-01-22,Standard Class,Air,72905,784074.72,1,0.41,maestro,Good,-23,2019-02,4,784074.72
90,Innotype,5252,Nissan,Maxima,Turquoise,2009,658004.98,0065-0643,Theodoric Padley,Male,Staff Accountant III,Los Angeles,United States,US,California,2019-05-25,0462-0395,2019-04-07,Standard Class,Truck,90025,749917.29,1,0.83,mastercard,Very Bad,-48,2019-05,1,749917.29
91,Kwimbee,4942,Volkswagen,Rabbit,Maroon,2009,679304.05,53746-102,Ada Strange,Female,Help Desk Operator,Charlottesville,United States,US,Virginia,2019-06-01,52731-7023,2019-03-31,Second Class,Air,22908,888417.08,2,0.63,visa-electron,Good,-62,2019-06,4,444208.54
92,Jayo,232,Mazda,Miata MX-5,Crimson,2005,739132.03,55700-020,Gabriello Hegdonne,Male,Technical Writer,Wichita,United States,US,Kansas,2019-05-03,58118-0017,2019-05-24,Standard Class,Air,67230,989524.24,1,0.84,jcb,Very Bad,21,2019-05,1,989524.24
93,Skiptube,7064,Pontiac,Grand Prix,Fuscia,1978,720963.77,0206-2100,Gussy Murison,Female,Chemical Engineer,Saint Paul,United States,US,Minnesota,2019-05-31,67345-0784,2019-03-21,Same Day,Truck,55127,820595.53,2,0.36,americanexpress,Very Bad,-71,2019-05,1,410297.765
94,Shuffledrive,6292,Audi,RS 4,Blue,2008,716932.67,68462-179,Haley Nockells,Female,Account Representative I,Louisville,United States,US,Kentucky,2019-01-05,41250-453,2019-03-28,First Class,Truck,40210,984950.9,2,0.81,jcb,Very Good,82,2019-01,5,492475.45
95,Gevee,9324,Nissan,Quest,Blue,1993,634734.96,76439-273,Abigael Smalridge,Female,Health Coach II,Tucson,United States,US,Arizona,2019-01-04,54473-241,2019-04-10,Second Class,Truck,85705,768759.71,2,0.59,jcb,Very Good,96,2019-01,5,384379.855
